,Safety_Score,Days_Since_Inspection,Total_Safety_Complaints,Control_Metric,Turbulence_In_gforces,Cabin_Temperature,Accident_Type_Code,Max_Elevation,Violations,Adverse_Weather_Metric,Accident_ID,Severity
2970,35.2511415525114,11,6,52.5524156791249,0.393285971871619,81.37,4,32666.8093913512,1,0.0601777442176999,9526,Significant_Damage_And_Fatalities
7187,15.7534246575342,20,4,82.1330902461258,0.43619978362784,79.74,3,40230.3528397513,3,0.201830705207261,2863,Significant_Damage_And_Serious_Injuries
1827,47.7168949771689,11,0,83.8195077484048,0.203599711503786,81.83,1,19352.8761801669,3,0.723355681550488,11187,Significant_Damage_And_Serious_Injuries
9410,43.607305936073,12,3,53.2360984503191,0.584775333573747,81.45,6,27053.4458792123,3,0.0070160859001572,1519,Minor_Damage_And_Injuries
6475,45.0228310502283,15,3,80.8568824065634,0.28870609448251,77.56,6,24842.6498966652,3,0.0060535237138176,7754,Minor_Damage_And_Injuries
9902,20.5479452054795,15,2,41.5679124886053,0.621919221060224,82.72,4,37852.9381954139,3,0.0697843616372638,7373,Significant_Damage_And_Fatalities
1113,52.283105022831,9,14,78.0765724703738,0.341356653443924,84.8,3,32746.1554861564,2,0.163604816192789,10348,Significant_Damage_And_Serious_Injuries
477,18.3561643835616,19,18,72.4247948951687,0.388958528669311,77.74,1,23004.8912496895,3,0.845845626344203,10964,Significant_Damage_And_Serious_Injuries
1004,34.8401826484018,15,6,52.4156791248861,0.456033898305084,78.48,5,37082.0044165987,0,0.0252195650776522,11077,Minor_Damage_And_Injuries
8214,26.1643835616438,17,0,62.6709206927985,0.400498377208799,80.35,3,26274.6928894615,2,0.130415663730182,9213,Significant_Damage_And_Serious_Injuries
2546,35.4794520547945,14,1,72.5615314494075,0.312146411828345,78.82,6,25722.5280242184,2,0.0061497607919707,8235,Significant_Damage_And_Serious_Injuries
5815,34.2465753424658,11,1,73.1996353691887,0.316113234763794,81.73,1,42535.4615406625,2,1.56365104590688,10950,Highly_Fatal_And_Damaging
6213,57.351598173516,11,7,65.2233363719235,0.348929679047962,80.84,2,28248.2003469655,1,0.382297819488116,12061,Minor_Damage_And_Injuries
6964,32.6940639269406,12,3,54.6946216955333,0.404104579877389,77.9,5,33249.3810676588,1,0.0217946673291327,11540,Significant_Damage_And_Fatalities
5246,19.1780821917808,21,2,57.0191431175934,0.378139920663541,83.72,1,37496.2410972152,2,1.38064271264044,9830,Highly_Fatal_And_Damaging
6157,42.9680365296804,15,4,77.894257064722,0.243989181391994,81.73,2,37085.8747636847,4,0.498635558744046,844,Minor_Damage_And_Injuries
6850,59.4520547945205,14,15,48.8149498632635,0.735153984853949,75.71,7,31377.4392472299,3,0.0027988760222812,8262,Significant_Damage_And_Serious_Injuries
9328,32.9223744292237,15,0,60.1640838650866,0.43259358095925,87.44,7,36749.152662344,2,0.0030807226467931,1635,Significant_Damage_And_Serious_Injuries
8347,18.5388127853881,16,0,69.1431175934367,0.325849981968986,86.56,2,20815.9142089448,1,0.280042859677686,4429,Highly_Fatal_And_Damaging
2905,33.6073059360731,18,1,50.820419325433,0.562777497295348,83.57,3,33673.5787819803,1,0.167541354018373,8193,Highly_Fatal_And_Damaging
4732,61.4155251141552,10,0,83.5460346399271,0.248316624594302,79.94,1,26920.0371752431,3,0.992974229396275,2805,Minor_Damage_And_Injuries
7281,62.0091324200913,10,1,63.9015496809481,0.205042192571222,84.02,5,28901.6079461952,0,0.0199959371191929,10901,Minor_Damage_And_Injuries
62,42.648401826484,9,0,58.7055606198724,0.256610890732059,81.16,1,31380.1439202728,1,1.1631821282771,3168,Highly_Fatal_And_Damaging
1962,53.2876712328767,16,1,56.4266180492252,0.466491886043996,78.84,7,22921.0773301534,2,0.0023460657550054,11192,Significant_Damage_And_Fatalities
9811,32.2374429223744,15,6,74.7493163172288,0.201435989902632,77.36,1,36929.4217155852,3,1.36636436145827,691,Significant_Damage_And_Serious_Injuries
1417,24.7945205479452,14,12,39.8359161349134,0.433314821492968,81.45,4,34205.1278146446,0,0.0618281120215323,9355,Significant_Damage_And_Fatalities
7806,27.1232876712329,17,1,72.0145852324522,0.413480706815723,79.74,3,35557.6780853689,1,0.176919345779094,6209,Significant_Damage_And_Serious_Injuries
7426,18.9497716894977,16,3,75.4785779398359,0.22379444644789,79.8,1,35006.6478704957,0,1.29142485015568,7189,Highly_Fatal_And_Damaging
3100,25.9817351598173,14,4,60.3463992707384,0.28149368914533,76.4,4,43870.357040907,2,0.0796416216471924,9229,Highly_Fatal_And_Damaging
9292,43.6529680365297,15,2,86.7821330902461,0.362993869455463,79.07,1,34626.8862524966,3,1.27950242269574,4344,Minor_Damage_And_Injuries
8742,63.3333333333333,6,9,52.506836827712,0.311064551027768,78.37,3,29734.4413363987,1,0.14794422081512,9076,Minor_Damage_And_Injuries
961,20.5479452054795,15,2,39.7903372835005,0.727941579516768,78.99,6,45610.728792073,2,0.0117574692248208,3935,Significant_Damage_And_Fatalities
8146,26.2557077625571,17,4,76.7547857793984,0.307097728092319,78.74,6,42138.1904119064,3,0.010121604078669,10241,Significant_Damage_And_Serious_Injuries
5504,55.0228310502283,9,10,77.4384685505925,0.185568698160836,78.56,7,52054.3002379775,2,0.0046095259518669,9445,Significant_Damage_And_Serious_Injuries
6121,48.1735159817352,14,4,78.4412032816773,0.308179588892896,78.54,5,43972.097174903,2,0.0303240089034753,223,Minor_Damage_And_Injuries
703,41.3698630136986,13,10,64.3573381950775,0.273560043274432,81.31,6,34616.5337280709,1,0.0082680920592571,7707,Significant_Damage_And_Serious_Injuries
2399,31.8264840182648,12,1,62.8532360984503,0.312507032095204,79.14,4,30063.6622439764,1,0.0543696861900085,1446,Highly_Fatal_And_Damaging
5486,28.9954337899543,13,0,82.2242479489517,0.332341146772449,83.29,4,33053.916313277,3,0.0604794899831926,9558,Highly_Fatal_And_Damaging
7125,36.4383561643836,14,10,71.4220601640839,0.350011539848539,80.75,3,47147.8297247954,2,0.233684409670316,8386,Significant_Damage_And_Serious_Injuries
3987,47.8995433789954,14,3,41.841385597083,0.745972592859718,81.17,3,14274.0590139556,3,0.0728513382155746,2117,Highly_Fatal_And_Damaging
3140,43.4246575342466,12,2,57.5205104831358,0.465770645510278,84.42,6,45002.0079321222,3,0.0114089976100017,8032,Significant_Damage_And_Serious_Injuries
3662,44.5205479452055,15,2,48.0401093892434,0.585857194374324,76.27,2,30701.4903580148,1,0.41479169884689,4231,Highly_Fatal_And_Damaging
9720,25.3424657534247,14,12,76.5724703737466,0.335586729174179,82.92,6,42076.998636433,3,0.0098557091080722,11724,Highly_Fatal_And_Damaging
8048,55.0228310502283,12,4,57.4749316317229,0.42538117562207,76.09,5,42842.0382744754,1,0.0282665799569333,2054,Minor_Damage_And_Injuries
356,68.675799086758,8,2,45.3965360072927,0.38210674359899,79.22,7,24664.5289303028,2,0.0021044502931397,6770,Significant_Damage_And_Serious_Injuries
9177,45.9817351598173,15,0,67.8669097538742,0.309261449693473,80.97,2,32374.9519273225,0,0.437800105252872,6423,Minor_Damage_And_Injuries
9773,68.1278538812785,5,17,75.3418413855971,0.325849981968986,79.03,4,28156.6962344969,1,0.0515663632026278,9157,Highly_Fatal_And_Damaging
6468,51.0045662100457,10,7,69.7812215132179,0.349290299314821,79.69,1,36731.4594114037,2,1.36336943621395,11409,Significant_Damage_And_Serious_Injuries
9867,39.5433789954338,9,0,42.8441203281678,0.633459069599711,80.82,3,24407.9850030993,2,0.121638567542421,4888,Significant_Damage_And_Fatalities
6155,40.0456621004566,13,0,76.7547857793984,0.242907320591417,81.04,5,27417.5994528457,2,0.0184651464079909,2723,Significant_Damage_And_Serious_Injuries
1853,37.5799086757991,10,12,62.2607110300821,0.375615578795528,80.53,4,32874.2637561158,1,0.0605866107345607,12481,Highly_Fatal_And_Damaging
2407,36.5753424657534,14,5,59.4804010938925,0.322965019834114,84.26,1,27108.1286016377,1,0.997980574484882,8422,Significant_Damage_And_Serious_Injuries
9414,58.7671232876712,14,1,85.7793983591614,0.237858636855391,77.01,7,37253.905366837,4,0.003628838203885,10627,Significant_Damage_And_Fatalities
6265,32.8767123287671,15,8,75.2506836827712,0.380303642264695,76.18,6,45290.8914732731,2,0.0115568724282437,900,Significant_Damage_And_Serious_Injuries
2716,65.8904109589041,9,2,56.7000911577028,0.777707176343311,78.9,7,27551.1035270287,2,0.0024096436107178,11290,Significant_Damage_And_Serious_Injuries
1808,42.8310502283105,9,0,59.7994530537831,0.474786152181753,85.1,4,24973.6836872682,3,0.0463365072382216,1166,Highly_Fatal_And_Damaging
3815,35.2511415525114,18,3,67.6845943482224,0.340996033177064,80.82,4,24814.5695668771,0,0.0454494695366295,6821,Minor_Damage_And_Injuries
7993,41.6438356164383,19,9,82.8623518687329,0.371648755860079,80.43,7,29289.6517614832,2,0.0028193821835653,2910,Significant_Damage_And_Fatalities
4744,36.8493150684931,14,4,88.0127620783956,0.200354129102055,87.72,6,36644.9561608933,3,0.0083170757330415,6779,Significant_Damage_And_Serious_Injuries
6089,38.9954337899543,10,1,62.8076572470374,0.286181752614497,75.31,4,18426.2771409882,4,0.0340977244601301,7408,Highly_Fatal_And_Damaging
5073,36.62100456621,14,2,49.6809480401094,0.357223945185719,79.23,3,29290.6148321627,3,0.145497843024578,6357,Minor_Damage_And_Injuries
6678,51.0502283105023,13,3,64.7219690063811,0.354699603317706,78.87,2,46608.2720139824,1,0.63077436941814,249,Minor_Damage_And_Injuries
5322,78.675799086758,8,1,74.7948951686418,0.274641904075009,82.26,1,34239.8497938214,2,1.2581610297204,738,Significant_Damage_And_Fatalities
5904,47.9908675799087,14,3,97.9945305378305,0.303491525423729,82.28,1,32529.7644043405,1,1.18372103996504,1243,Minor_Damage_And_Injuries
5780,74.1095890410959,5,4,49.4530537830446,0.397252794807068,87.08,7,13504.5464512098,1,0.0015227577484414,9716,Minor_Damage_And_Injuries
188,76.1187214611872,6,1,65.3600729261623,0.46108258204111,75.41,4,22083.7153472564,4,0.040335527894257,6740,Minor_Damage_And_Injuries
244,22.4200913242009,15,2,45.8067456700091,0.631295347998557,78.46,4,24188.3948414421,1,0.0447909407031703,6522,Significant_Damage_And_Fatalities
7750,56.4840182648402,11,20,60.3463992707384,0.353617742517129,79.25,5,42277.9678950802,2,0.0284866706906088,7391,Minor_Damage_And_Injuries
2706,19.4063926940639,19,0,59.9817684594348,0.508323836999639,78.46,3,35769.5193950316,0,0.18052770276599,5523,Significant_Damage_And_Serious_Injuries
8521,27.4429223744292,13,4,66.9097538742024,0.327292463036423,79.69,4,30464.2328578244,2,0.0558847376979447,6429,Highly_Fatal_And_Damaging
8186,50.1826484018265,10,4,45.3965360072927,0.476589253516048,78.33,6,27780.3160869946,3,0.0065306456156929,1836,Minor_Damage_And_Injuries
2586,48.675799086758,7,2,67.6390154968095,0.344962856112513,82.11,4,32342.3133839545,1,0.0588715558622953,8938,Highly_Fatal_And_Damaging
7299,30.0,13,2,65.1321786690975,0.36046952758745,82.02,4,36292.1949816483,3,0.0667773468350688,10694,Highly_Fatal_And_Damaging
7542,54.8858447488584,12,1,63.7192342752963,0.568547421565092,77.55,2,29989.7501979184,3,0.405598313032733,4925,Minor_Damage_And_Injuries
770,54.7945205479452,12,1,73.4275296262534,0.463246303642264,84.74,5,8645.35570372917,1,0.008688779793649,3704,Minor_Damage_And_Injuries
2784,30.0913242009132,13,12,77.7575205104832,0.281133068878471,84.96,4,31592.253491779,1,0.057784828470206,6288,Highly_Fatal_And_Damaging
94,59.5433789954338,14,15,70.5560619872379,0.239661738189686,78.7,7,27171.7746672583,1,0.0021651788596347,12066,Significant_Damage_And_Fatalities
2168,38.4931506849315,13,14,70.1914311759344,0.439805986296429,79.51,6,33528.5133497288,1,0.0091038778512197,3555,Significant_Damage_And_Serious_Injuries
7846,20.8675799086758,15,14,52.0966271649954,0.49353840605842,79.6,1,17307.2747036961,2,0.660172964090242,3035,Significant_Damage_And_Fatalities
3736,48.5388127853881,10,1,79.6718322698268,0.240022358456545,83.37,3,12231.5253318163,4,0.0587975074186055,3327,Significant_Damage_And_Serious_Injuries
7943,46.6666666666667,7,17,45.3965360072927,0.725777857915614,77.74,2,20799.9255916983,1,0.278446237781689,8479,Significant_Damage_And_Fatalities
386,16.4840182648402,17,16,37.5113947128533,0.602806346916697,80.98,3,45701.7414856338,3,0.227253121797105,99,Significant_Damage_And_Fatalities
2334,29.0867579908676,16,14,61.3947128532361,0.386073566534439,78.32,3,24750.8715934395,2,0.121638567542421,10873,Significant_Damage_And_Serious_Injuries
5276,32.1004566210046,12,8,73.5186873290793,0.388958528669311,80.07,6,35460.2652816768,0,0.0090676683776277,277,Highly_Fatal_And_Damaging
7747,46.2557077625571,8,1,72.2880583409298,0.249759105661738,76.17,4,39280.6384452088,2,0.0720532143220995,1245,Highly_Fatal_And_Damaging
2301,19.9543378995434,15,8,63.947128532361,0.201435989902632,85.75,2,21997.4295032142,3,0.296854439576655,11465,Highly_Fatal_And_Damaging
2911,17.8995433789954,20,12,52.9626253418414,0.366600072124053,88.39,3,47592.316643138,2,0.236948192249694,6841,Minor_Damage_And_Injuries
7920,30.9132420091324,12,1,64.0382862351869,0.462885683375405,77.32,2,30536.5363889344,1,0.411158531593447,3975,Highly_Fatal_And_Damaging
1374,42.4200913242009,12,19,58.6144029170465,0.462164442841687,82.02,3,39034.3704321108,1,0.195713491083689,251,Significant_Damage_And_Serious_Injuries
5374,18.310502283105,16,1,76.5268915223336,0.238940497655968,79.15,4,31988.0198052666,3,0.0589535428536337,11005,Highly_Fatal_And_Damaging
8255,51.2328767123288,13,14,57.383773928897,0.440887847097007,80.81,3,29542.2935498954,4,0.147077299443035,7514,Minor_Damage_And_Injuries
2089,51.5981735159817,17,4,74.0200546946217,0.25264406779661,79.51,7,45934.1334754439,4,0.0039231913300046,7920,Significant_Damage_And_Fatalities
3732,48.5388127853881,14,2,71.0118505013674,0.52238802740714,76.92,7,24523.0271444722,1,0.0024008732129236,3316,Minor_Damage_And_Injuries
9663,65.662100456621,9,2,45.897903372835,0.411316985214569,78.06,7,30752.6337971837,3,0.002697681277822,1602,Significant_Damage_And_Serious_Injuries
4361,30.7762557077626,16,3,70.464904284412,0.341356653443924,82.73,6,24242.431985579,2,0.0063194915673779,7547,Significant_Damage_And_Serious_Injuries
2140,38.4018264840183,14,14,56.9735642661805,0.538976559682654,85.61,2,49106.3559589155,2,0.653900333012144,2216,Minor_Damage_And_Injuries
5891,68.6301369863014,8,2,70.464904284412,0.322965019834114,75.58,2,46240.755011011,2,0.623420577171322,7060,Minor_Damage_And_Injuries
